U+2F800	丽	⿰⿱一𠔼⿱一𠔼
U+2F801	丸	⿻九丶
U+2F802	乁	乁
U+2F803	𠄢	⿳一&AJ1-04220;一
U+2F804	你	⿰亻尓
U+2F805	侮	⿰亻毎
U+2F806	侻	⿰亻兑
U+2F807	倂	⿰亻幷
U+2F808	偺	⿰亻⿱⿺夂卜日
U+2F809	備	⿰亻⿱卝⿸丆用
U+2F80A	僧	⿰亻曽
U+2F80B	像	⿰亻𧰼
U+2F80C	㒞	⿰亻嶲
U+2F80D	𠘺	⿳&AJ1-04110;厶儿
U+2F80E	免	⿱刀⿱𫩏儿
U+2F80F	兔	⿷免丶
U+2F810	兤	⿰光&MJ011077;
U+2F811	具	⿳目一八
U+2F812	𠔜	⿱𦥔⿱一八
U+2F813	㒹	⿰&MJ018170;&MJ018170;
U+2F814	內	⿻冂人
U+2F815	再	⿱一&MJ007308;
U+2F816	𠕋	⿻⿰冂冂二
U+2F817	冗	⿱冖儿
U+2F818	冤	⿱冖兔
U+2F819	仌	⿱人人
U+2F81A	冬	⿱夂冫
U+2F81B	况	⿰二兄
U+2F81C	𩇟	⿰冫⿰靑見
U+2F81D	凵	凵
U+2F81E	刃	⿻刀丶
U+2F81F	㓟	⿰皮刂
U+2F820	刻	⿰⿱&AJ1-04110;⿸&GT-00154;人刂
U+2F821	剆	⿰良刂
U+2F822	&MJ007573;	⿰⿳宀&MJ006350;口刂
U+2F823	剷	⿰産刂
U+2F824	㔕	⿺气力
U+2F825	勇	⿳龴田力
U+2F826	勉	⿺&MJ007230;力
U+2F827	勤	⿰⿱⺾&CDP-8A6D;力
U+2F828	勺	⿹勹一
U+2F829	包	⿹勹己
U+2F82A	匆	⿻勿乀
U+2F82B	北	北
U+2F82C	卉	⿱十廾
U+2F82D	卑	卑
U+2F82E	博	⿰十⿱⿺⿻十日丶寸
U+2F82F	即	即
U+2F830	卽	⿰&AJ1-05786;卩
U+2F831	卿	⿲𠂎&C4-2278;卩
U+2F832	卿	⿲𠂎&CDP-8C42;卩
U+2F833	卿	⿰𠂎卽
U+2F834	𠨬	⿸𠂆&AJ1-13523;
U+2F835	灰	⿸厂火
U+2F836	及	及
U+2F837	叟	⿱申又
U+2F838	𠭣	⿰⿱&AJ1-14521;𧰨又
U+2F839	&C6-225B;	⿰口&AJ1-17237;
U+2F83A	叱	⿰口匕
U+2F83B	吆	⿰口么
U+2F83C	咞	⿰口开
U+2F83D	吸	⿰口及
U+2F83E	呈	⿱口王
U+2F83F	周	⿵⺆⿱&CDP-8BF1;口
U+2F840	咢	⿱吅亐
U+2F841	哶	⿰口𦍋
U+2F842	唐	⿸广⿱&CDP-884D;口
U+2F843	啓	⿱⿰戸攵口
U+2F844	啣	⿰口&UU+7F37;
U+2F845	善	⿱⿱羊&GT-39641;口
U+2F846	善	⿱⿱𦍌⺾口
U+2F847	喙	⿰口⿱&AJ1-14521;𧰨
U+2F848	喫	⿰口⿱⿰龶刀大
U+2F849	喳	⿰口査
U+2F84A	嗂	⿰口&JX2-7461;
U+2F84B	圖	⿴囗⿳厶十回
U+2F84C	嘆	⿰口𦰩
U+2F84D	圗	⿴囗⿳厶&AJ1-04110;囬
U+2F84E	噑	⿰口⿳白⿲𠄠丨𠄠十
U+2F84F	噴	⿰口賁
U+2F850	切	⿰土刀
U+2F851	壮	⿰丬土
U+2F852	城	⿰土成
U+2F853	埴	⿰土⿱匕⿺𠃊目
U+2F854	堍	⿰土兔
U+2F855	型	⿱𠛬土
U+2F856	堲	⿱&AJ1-13365;土
U+2F857	報	⿰&MJ010951;㞋
U+2F858	墬	⿱⿰⻖⿱&AJ1-14521;𧰨土
U+2F859	𡓤	⿰土&UU+477F;
U+2F85A	売	⿱士&MJ007329;
U+2F85B	壷	⿳士冖亞
U+2F85C	夆	⿱夂&MJ006350;
U+2F85D	多	多
U+2F85E	夢	⿳&C6-333E;冖夕
U+2F85F	奢	⿱大者
U+2F860	𡚧	⿰女匕
U+2F861	𡛪	⿰女𡯎
U+2F862	姬	⿰女𦣝
U+2F863	娛	⿰女&AJ1-01942;
U+2F864	娧	⿰女兑
U+2F865	姘	⿰女幷
U+2F866	婦	⿰女⿳&AJ1-14521;冖巾
U+2F867	㛮	⿰女⿳穴人又
U+2F868	㛼	⿰女&CDP-8A48;
U+2F869	嬈	⿰女⿱垚几
U+2F86A	嬾	⿰女&AJ1-08627;
U+2F86B	嬾	⿰女頼
U+2F86C	𡧈	⿱宀亏
U+2F86D	寃	⿱宀兔
U+2F86E	寘	⿱宀&MJ018170;
U+2F86F	寧	⿱⿳宀心罒丁
U+2F870	寳	⿳宀⿰王尔貝
U+2F871	𡬘	⿰&AJ1-18400;&MJ010213;
U+2F872	寿	⿸&MJ006350;寸
U+2F873	将	⿰丬⿱&CDP-88F0;寸
U+2F874	当	⿱小&AJ1-14521;
U+2F875	尢	尢
U+2F876	㞁	⿺尢&C4-2278;
U+2F877	屠	⿸尸者
U+2F878	屮	⿻&AJ1-04248;丿
U+2F879	峀	⿱山由
U+2F87A	岍	⿰山幵
U+2F87B	&C6-304E;	⿰山吳
U+2F87C	嵃	⿰山彦
U+2F87D	&C6-4835;	⿱&AJ1-13365;山
U+2F87E	嵮	⿰山&MJ018170;
U+2F87F	嵫	⿰山&MJ021826;
U+2F880	嵼	⿰山産
U+2F881	巡	⿺⻍巛
U+2F882	巢	⿱巛⿻𦥑木
U+2F883	㠯	㠯
U+2F884	巽	⿱⿰巳巳共
U+2F885	帨	⿰巾兑
U+2F886	帽	⿰巾冒
U+2F887	幩	⿰巾賁
U+2F888	㡢	⿰巾⿱⿱冃罒方
U+2F889	&C7-606E;	⿰巾⿳艹⿲止自巳⿱几夂
U+2F88A	㡼	⿸广曳
U+2F88B	庰	⿸广幷
U+2F88C	庳	⿸广&MJ041343;
U+2F88D	庶	⿸广⿱龷灬
U+2F88E	廊	⿸广郞
U+2F88F	&C5-455D;	⿸&AJ1-03729;&AJ1-03724;
U+2F890	廾	⿰𠂇十
U+2F891	𢌱	⿱&MJ006310;&MJ011120;
U+2F892	𢌱	⿱&MJ006310;廾
U+2F893	舁	⿱臼&MJ011120;
U+2F894	弢	⿰弓⿱山又
U+2F895	弢	⿰弓⿱屮又
U+2F896	㣇	⿱⿱&AJ1-14521;&CDP-89A6;巾
U+2F897	𣊸	⿰曶&GT-12511;
U+2F898	𦇚	⿱彑⿰&C6-3360;&AJ1-02761;
U+2F899	形	⿰幵彡
U+2F89A	彫	⿰周彡
